Country_One,Country_Two,Similarity
afghanistan,ägypten,0.3753315140495224
afghanistan,albanien,0.26508941108041856
afghanistan,algerien,0.29941516725824924
afghanistan,angola,0.3181421951467134
afghanistan,argentinien,0.2681244893329354
afghanistan,armenien,0.22995179645841712
afghanistan,aserbaidschan,0.29474125833192205
afghanistan,äthiopien,0.31729320720545345
afghanistan,australien,0.140266538540959
afghanistan,bangladesch,0.2526407368309592
afghanistan,belarus,0.33610701651409863
afghanistan,belgien,0.11924045784560217
afghanistan,bosnien_und_herzegowina,0.34973906499884444
afghanistan,brasilien,0.20751589377356439
afghanistan,bulgarien,0.17021969729262793
afghanistan,chile,0.22726702578447963
afghanistan,china,0.2712052173974641
afghanistan,dänemark,0.16504779634974542
afghanistan,estland,0.1299146703391349
afghanistan,finnland,0.06669099119470084
afghanistan,frankreich,0.1888918765419833
afghanistan,georgien,0.34489093368877144
afghanistan,ghana,0.22817653229736723
afghanistan,griechenland,0.26765256025414796
afghanistan,hongkong,0.21015015225198747
afghanistan,indien,0.30410058980358434
afghanistan,indonesien,0.3137365544662542
afghanistan,irak,0.47626088303655356
afghanistan,iran,0.41157282583412125
afghanistan,irland,0.1490918958705021
afghanistan,island,0.10589386777373443
afghanistan,israel,0.38063737930833685
afghanistan,italien,0.2137721093160298
afghanistan,japan,0.26790487179842176
afghanistan,kambodscha,0.2179411238116555
afghanistan,kanada,0.19102112199352336
afghanistan,kasachstan,0.27900363125046335
afghanistan,kenia,0.32492929764890865
afghanistan,kolumbien,0.26938968894140713
afghanistan,kongo,0.37970707805407045
afghanistan,kroatien,0.23441341990950693
afghanistan,kuba,0.27542197667197166
afghanistan,lettland,0.13224775193878213
afghanistan,libyen,0.47124053726442333
afghanistan,litauen,0.11781926787347849
afghanistan,luxemburg,0.058244981216460934
afghanistan,malaysia,0.2132852543541553
afghanistan,mali,0.42379863745191126
afghanistan,malta,0.19860528306691322
afghanistan,mazedonien,0.24151893063174273
afghanistan,mexiko,0.20749745188229457
afghanistan,montenegro,0.24974555844883695
afghanistan,mosambik,0.25422908638794117
afghanistan,namibia,0.2957087020607031
afghanistan,nepal,0.2869280710824421
afghanistan,neuseeland,0.2318753802712638
afghanistan,niederlande,0.1786258230230684
afghanistan,niger,0.24836716998660574
afghanistan,nigeria,0.2640363610442451
afghanistan,nordkorea,0.26295272946922477
afghanistan,norwegen,0.13097680966431952
afghanistan,österreich,0.1438247568699541
afghanistan,pakistan,0.5431174203964713
afghanistan,philippinen,0.188202144839119
afghanistan,polen,0.15904306275546393
afghanistan,portugal,0.16532296127311985
afghanistan,ruanda,0.2707471890648038
afghanistan,rumänien,0.21484595324800493
afghanistan,saudi_arabien,0.35775811498323545
afghanistan,schweden,0.10744917245955822
afghanistan,schweiz,0.17123810240351725
afghanistan,senegal,0.1497530737205971
afghanistan,serbien,0.30636694451810553
afghanistan,singapur,0.13860654757272667
afghanistan,slowakei,0.16161354714488185
afghanistan,slowenien,0.16572756072629663
afghanistan,somalia,0.43959285560159533
afghanistan,spanien,0.17398179472055594
afghanistan,südafrika,0.24150121738577449
afghanistan,sudan,0.4607739487494611
afghanistan,südkorea,0.19047266819790662
afghanistan,südsudan,0.4602616354566924
afghanistan,syrien,0.43794234279415206
afghanistan,tansania,0.2623232086450769
afghanistan,thailand,0.22393267530946484
afghanistan,tschechien,0.09878624100116504
afghanistan,türkei,0.29358485851334226
afghanistan,uganda,0.2969637581547865
afghanistan,ukraine,0.19140501822231965
afghanistan,ungarn,0.206115614680405
afghanistan,usa,0.3126884778591932
afghanistan,vereinigtes_königreich,0.1433786111693866
afghanistan,vietnam,0.24573799198411195
afghanistan,zypern,0.17118545234076193
ägypten,albanien,0.2644133058658661
ägypten,algerien,0.5337785956744935
ägypten,angola,0.39230435866231556
ägypten,argentinien,0.34496340987663654
ägypten,armenien,0.3450287310455812
ägypten,aserbaidschan,0.36319387256494795
ägypten,äthiopien,0.3370973485287745
ägypten,australien,0.21621247133257243
ägypten,bangladesch,0.2648365401832957
ägypten,belarus,0.3701331849973891
ägypten,belgien,0.15724673722347798
ägypten,bosnien_und_herzegowina,0.24185272916204467
ägypten,brasilien,0.3291615771101145
ägypten,bulgarien,0.1951207645778546
ägypten,chile,0.34283660634428503
ägypten,china,0.32836602499597556
ägypten,dänemark,0.14524835137543496
ägypten,estland,0.21279298917936165
ägypten,finnland,0.14581999609527624
ägypten,frankreich,0.24845593242136185
ägypten,georgien,0.32638965687751575
ägypten,ghana,0.3067237021646906
ägypten,griechenland,0.31512661972468914
ägypten,hongkong,0.24437852156901665
ägypten,indien,0.36931789801907455
ägypten,indonesien,0.3110005543166069
ägypten,irak,0.40317993278666703
ägypten,iran,0.4351765483389609
ägypten,irland,0.25464008259214344
ägypten,island,0.22957698764279078
ägypten,israel,0.4537353521008584
ägypten,italien,0.31433039086071124
ägypten,japan,0.34206733449580207
ägypten,kambodscha,0.2435212423363209
ägypten,kanada,0.29199989638552426
ägypten,kasachstan,0.30931683850243585
ägypten,kenia,0.23150792435700324
ägypten,kolumbien,0.3103064742024311
ägypten,kongo,0.31168669105702895
ägypten,kroatien,0.23237651711316099
ägypten,kuba,0.2267608102938988
ägypten,lettland,0.2356177143037932
ägypten,libyen,0.5344017039629473
ägypten,litauen,0.24867699898076656
ägypten,luxemburg,0.21971325588501672
ägypten,malaysia,0.3503967661532519
ägypten,mali,0.3347949077519423
ägypten,malta,0.22833935429239985
ägypten,mazedonien,0.2730755331517043
ägypten,mexiko,0.32963903943994827
ägypten,montenegro,0.24256499822136512
ägypten,mosambik,0.28990775487125725
ägypten,namibia,0.2505541516063793
ägypten,nepal,0.31889625726465337
ägypten,neuseeland,0.1480634899969257
