Country_One,Country_Two,Similarity
afghanistan,ägypten,0.4484974877874881
afghanistan,albanien,0.3105138669602
afghanistan,algerien,0.3814406257686822
afghanistan,angola,0.34089334714594877
afghanistan,argentinien,0.2281232267918517
afghanistan,armenien,0.442574895696395
afghanistan,aserbaidschan,0.35169670235228034
afghanistan,äthiopien,0.35092301947128635
afghanistan,australien,0.17399863434636073
afghanistan,bangladesch,0.34741389171290615
afghanistan,belarus,0.2388389226432282
afghanistan,belgien,0.16794704814283526
afghanistan,bosnien_und_herzegowina,0.19738269444670642
afghanistan,brasilien,0.2801438947680958
afghanistan,bulgarien,0.23669512009099553
afghanistan,chile,0.20801955175595582
afghanistan,china,0.2489655016556111
afghanistan,dänemark,0.17736961891947858
afghanistan,estland,0.19938093794041906
afghanistan,finnland,0.15345347290765132
afghanistan,frankreich,0.1715358965213849
afghanistan,georgien,0.22263570375287256
afghanistan,ghana,0.2591937128364313
afghanistan,griechenland,0.26718462750080085
afghanistan,hongkong,0.16167712233983403
afghanistan,indien,0.27168524515913484
afghanistan,indonesien,0.3037098425445526
afghanistan,irak,0.3476713300201313
afghanistan,iran,0.37793713961968417
afghanistan,irland,0.15531713987967188
afghanistan,island,0.3144016010946556
afghanistan,israel,0.27626575360363925
afghanistan,italien,0.1750939738096143
afghanistan,japan,0.1507803815843687
afghanistan,kambodscha,0.46431839196627867
afghanistan,kanada,0.20074652424200828
afghanistan,kasachstan,0.26669365848238935
afghanistan,kenia,0.4170990348847004
afghanistan,kolumbien,0.2648645124063046
afghanistan,kongo,0.34831985186841047
afghanistan,kroatien,0.28121715582890616
afghanistan,kuba,0.3355809560704998
afghanistan,lettland,0.254503454923505
afghanistan,libyen,0.2769467121080312
afghanistan,litauen,0.2770895777463601
afghanistan,luxemburg,0.14325193231510952
afghanistan,malaysia,0.2816692868933669
afghanistan,mali,0.39224658712056415
afghanistan,malta,0.18167945962140936
afghanistan,mazedonien,0.29014978702363436
afghanistan,mexiko,0.25453612379114376
afghanistan,montenegro,0.23640409513349633
afghanistan,mosambik,0.43321376009479245
afghanistan,namibia,0.24773822692905934
afghanistan,nepal,0.16285779760550217
afghanistan,neuseeland,0.14792366672710341
afghanistan,niederlande,0.14361130163928265
afghanistan,niger,0.32351102636461604
afghanistan,nigeria,0.28803538056665795
afghanistan,nordkorea,0.2901609950443147
afghanistan,norwegen,0.19815155428208997
afghanistan,österreich,0.1507474685065655
afghanistan,pakistan,0.31854628095451476
afghanistan,philippinen,0.2075523087169813
afghanistan,polen,0.2548404106562789
afghanistan,portugal,0.2606623861668337
afghanistan,ruanda,0.3078909655608435
afghanistan,rumänien,0.23854039935072824
afghanistan,saudi_arabien,0.31935114413027865
afghanistan,schweden,0.1767682073496832
afghanistan,schweiz,0.16915437043264064
afghanistan,senegal,0.32826278824566957
afghanistan,serbien,0.330380056923405
afghanistan,singapur,0.13349895694872774
afghanistan,slowakei,0.21243685876936536
afghanistan,slowenien,0.2355791943830775
afghanistan,somalia,0.4168558901853156
afghanistan,spanien,0.20304924720875345
afghanistan,südafrika,0.2285982182378024
afghanistan,sudan,0.33803863998950145
afghanistan,südkorea,0.24050202259395956
afghanistan,südsudan,0.4405165327363148
afghanistan,syrien,0.4630651090492564
afghanistan,tansania,0.3354506319632362
afghanistan,thailand,0.20970978784551486
afghanistan,tschechien,0.19515242316295822
afghanistan,türkei,0.3778912396181302
afghanistan,uganda,0.2469643543509505
afghanistan,ukraine,0.12615173180173184
afghanistan,ungarn,0.21192997402151442
afghanistan,usa,0.21891120675213377
afghanistan,vereinigtes_königreich,0.15394998923139702
afghanistan,vietnam,0.3635897182983815
afghanistan,zypern,0.21075770491466284
ägypten,albanien,0.24808829488499995
ägypten,algerien,0.4403282305609073
ägypten,angola,0.4302032305519102
ägypten,argentinien,0.32722914915465706
ägypten,armenien,0.43480272787710383
ägypten,aserbaidschan,0.3961472201824851
ägypten,äthiopien,0.5884158807817141
ägypten,australien,0.32683275671681167
ägypten,bangladesch,0.3820657148591015
ägypten,belarus,0.3064165978499126
ägypten,belgien,0.277398466851912
ägypten,bosnien_und_herzegowina,0.24427064842673507
ägypten,brasilien,0.3601562698407701
ägypten,bulgarien,0.3152128734637346
ägypten,chile,0.2897015851048247
ägypten,china,0.41438802732853514
ägypten,dänemark,0.3030447723322194
ägypten,estland,0.2940855652357822
ägypten,finnland,0.23629838142773044
ägypten,frankreich,0.24695930824954315
ägypten,georgien,0.3191118003814558
ägypten,ghana,0.395740015366356
ägypten,griechenland,0.3322283948765351
ägypten,hongkong,0.2620421526106662
ägypten,indien,0.37422454268238836
ägypten,indonesien,0.4499741609005651
ägypten,irak,0.36870604044368704
ägypten,iran,0.33688958182295303
ägypten,irland,0.25338425595036174
ägypten,island,0.3736286495096579
ägypten,israel,0.3002404504560084
ägypten,italien,0.24658574251462145
ägypten,japan,0.3016230683936231
ägypten,kambodscha,0.3857017869799086
ägypten,kanada,0.30483580012351463
ägypten,kasachstan,0.32199356413597924
ägypten,kenia,0.5337262758505145
ägypten,kolumbien,0.2787831828026538
ägypten,kongo,0.41021723243688324
ägypten,kroatien,0.20164354896257752
ägypten,kuba,0.3443405272500862
ägypten,lettland,0.2558039998023651
ägypten,libyen,0.44295545121116375
ägypten,litauen,0.2802373678294301
ägypten,luxemburg,0.2194627113856082
ägypten,malaysia,0.4661484682765975
ägypten,mali,0.5333510879169587
ägypten,malta,0.29865619288878803
ägypten,mazedonien,0.2737118542444249
ägypten,mexiko,0.26219199160194173
ägypten,montenegro,0.23138843959475838
ägypten,mosambik,0.4620540426834895
ägypten,namibia,0.4132810211844873
ägypten,nepal,0.3015576142609965
ägypten,neuseeland,0.2975513940629667
ägypten,niederlande,0.2599286993115522
ägypten,niger,0.4145323227070778
ägypten,nigeria,0.4085202611084127
ägypten,nordkorea,0.40099965486230726
ägypten,norwegen,0.3273448965793453
ägypten,österreich,0.25741431135421666
ägypten,pakistan,0.42760778659081883
ägypten,philippinen,0.35125314271977387
ägypten,polen,0.26728913858973213
ägypten,portugal,0.3230041930652709
ägypten,ruanda,0.3377086865628516
ägypten,rumänien,0.3104920674765191
ägypten,saudi_arabien,0.4192946199227532
ägypten,schweden,0.25158730312080946
ägypten,schweiz,0.21816469181734074
ägypten,senegal,0.4074128914209991
ägypten,serbien,0.1984572966738069
ägypten,singapur,0.26552824644170675
ägypten,slowakei,0.23945786878314512
ägypten,slowenien,0.2732690445123844
ägypten,somalia,0.36992244329869395
ägypten,spanien,0.23586097026001684
ägypten,südafrika,0.3336045397171694
ägypten,sudan,0.5022774988123357
ägypten,südkorea,0.37050510646476087
ägypten,südsudan,0.4136873537364896
ägypten,syrien,0.5226302790004561
ägypten,tansania,0.43476113200216415
ägypten,thailand,0.3792469943913889
ägypten,tschechien,0.20429151641409898
ägypten,türkei,0.41023768345939204
ägypten,uganda,0.3956909233979363
ägypten,ukraine,0.22455088911163834
ägypten,ungarn,0.25683326782882654
ägypten,usa,0.29291144492089793
ägypten,vereinigtes_königreich,0.24059589658574265
ägypten,vietnam,0.4122107643954894
ägypten,zypern,0.25872532849223395
albanien,algerien,0.2895150848572285
albanien,angola,0.3179699876537698
albanien,argentinien,0.2591130414696182
albanien,armenien,0.4221084110024506
albanien,aserbaidschan,0.39416326343090624
albanien,äthiopien,0.38850446349413315
albanien,australien,0.2336553711495371
albanien,bangladesch,0.27003369404366856
albanien,belarus,0.329782402198924
albanien,belgien,0.21933755477185413
albanien,bosnien_und_herzegowina,0.4499959436965162
albanien,brasilien,0.27537696948093765
albanien,bulgarien,0.4451274785087019
albanien,chile,0.1384416387759752
albanien,china,0.2707511852676585
albanien,dänemark,0.16334372436246314
albanien,estland,0.3650173263000294
albanien,finnland,0.19149744320261686
albanien,frankreich,0.2096138319637289
albanien,georgien,0.40434387793489474
albanien,ghana,0.2509154641997945
albanien,griechenland,0.3269326826071142
albanien,hongkong,0.22459084195730755
albanien,indien,0.32006186114579505
albanien,indonesien,0.32578691486792405
albanien,irak,0.38189083637674404
albanien,iran,0.19285358223436244
albanien,irland,0.1724443508787221
albanien,island,0.3574390058892699
albanien,israel,0.22774765234530703
albanien,italien,0.23518808835829436
albanien,japan,0.14864930223964753
albanien,kambodscha,0.4007174430515069
albanien,kanada,0.2199749833551724
albanien,kasachstan,0.3021440731691809
albanien,kenia,0.43569583353800057
albanien,kolumbien,0.30561009528898453
albanien,kongo,0.4268605191620249
albanien,kroatien,0.4096042842822333
albanien,kuba,0.2778813437151378
albanien,lettland,0.2681389910391531
albanien,libyen,0.27012617983218556
albanien,litauen,0.30831161236203974
albanien,luxemburg,0.16841552655861056
albanien,malaysia,0.30205068692912995
albanien,mali,0.3892638401400821
albanien,malta,0.34002772064396564
albanien,mazedonien,0.7685352534416104
albanien,mexiko,0.19657078636699055
albanien,montenegro,0.4606033522786082
albanien,mosambik,0.3719538170913735
albanien,namibia,0.26257853507306833
albanien,nepal,0.197948928391099
albanien,neuseeland,0.22758295077023302
albanien,niederlande,0.17076125170270753
albanien,niger,0.33526494331504897
albanien,nigeria,0.3259501992287127
albanien,nordkorea,0.316922907204522
albanien,norwegen,0.3173525510608138
albanien,österreich,0.23453581941440513
albanien,pakistan,0.2631174459508511
albanien,philippinen,0.265488912861924
albanien,polen,0.31511934667767993
albanien,portugal,0.2486890505653173
albanien,ruanda,0.3910810988688802
albanien,rumänien,0.379959358174188
albanien,saudi_arabien,0.2481131781486842
albanien,schweden,0.20083955677740625
albanien,schweiz,0.15604108261158472
albanien,senegal,0.3908411279466463
