Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bosnien_und_herzegowina
argentinien,bulgarien
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
belarus,griechenland
brasilien,hongkong
chile,irland
china,island
georgien,italien
ghana,kanada
indien,kroatien
indonesien,lettland
irak,litauen
iran,luxemburg
israel,malta
japan,mazedonien
kambodscha,montenegro
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kuba,polen
libyen,portugal
malaysia,rumänien
mali,schweden
mexiko,schweiz
mosambik,serbien
namibia,singapur
nepal,slowakei
niger,slowenien
nigeria,spanien
nordkorea,tschechien
pakistan,ungarn
philippinen,usa
ruanda,vereinigtes_königreich
saudi_arabien,zypern
senegal,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
