Cluster_0,Cluster_1,Cluster_2
afghanistan,ägypten,australien
albanien,algerien,belgien
angola,argentinien,bulgarien
armenien,bangladesch,dänemark
aserbaidschan,brasilien,estland
äthiopien,chile,finnland
belarus,china,frankreich
bosnien_und_herzegowina,ghana,griechenland
georgien,hongkong,irland
irak,indien,island
iran,indonesien,italien
israel,kenia,japan
kambodscha,kolumbien,kanada
kasachstan,malaysia,lettland
kongo,mali,litauen
kroatien,mexiko,luxemburg
kuba,mosambik,malta
libyen,nepal,neuseeland
mazedonien,niger,niederlande
montenegro,nigeria,norwegen
namibia,philippinen,österreich
nordkorea,saudi_arabien,polen
pakistan,senegal,portugal
ruanda,singapur,rumänien
serbien,südafrika,schweden
somalia,tansania,schweiz
sudan,thailand,slowakei
südsudan,uganda,slowenien
syrien,vietnam,spanien
türkei,,südkorea
ukraine,,tschechien
zypern,,ungarn
,,usa
,,vereinigtes_königreich
