Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,bosnien_und_herzegowina,belgien
algerien,bulgarien,dänemark
angola,kroatien,estland
argentinien,montenegro,finnland
armenien,rumänien,frankreich
aserbaidschan,serbien,griechenland
äthiopien,türkei,irland
bangladesch,zypern,island
belarus,,italien
brasilien,,japan
chile,,kanada
china,,lettland
georgien,,litauen
ghana,,luxemburg
hongkong,,malta
indien,,neuseeland
indonesien,,niederlande
irak,,norwegen
iran,,österreich
israel,,polen
kambodscha,,portugal
kasachstan,,schweden
kenia,,schweiz
kolumbien,,singapur
kongo,,slowakei
kuba,,slowenien
libyen,,spanien
malaysia,,südkorea
mali,,tschechien
mazedonien,,ungarn
mexiko,,usa
mosambik,,vereinigtes_königreich
namibia,,
nepal,,
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
ukraine,,
vietnam,,
