Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,belgien,australien
algerien,bulgarien,brasilien
angola,dänemark,china
armenien,estland,hongkong
aserbaidschan,finnland,indien
äthiopien,frankreich,indonesien
bangladesch,griechenland,japan
belarus,irland,kanada
bosnien_und_herzegowina,island,malaysia
chile,italien,mexiko
georgien,kroatien,philippinen
ghana,lettland,südafrika
irak,litauen,südkorea
iran,luxemburg,usa
israel,malta,
kambodscha,mazedonien,
kasachstan,montenegro,
kenia,neuseeland,
kolumbien,niederlande,
kongo,norwegen,
kuba,österreich,
libyen,polen,
mali,portugal,
mosambik,rumänien,
namibia,schweden,
nepal,schweiz,
niger,serbien,
nigeria,singapur,
nordkorea,slowakei,
pakistan,slowenien,
ruanda,spanien,
saudi_arabien,tschechien,
senegal,türkei,
somalia,ukraine,
sudan,ungarn,
südsudan,vereinigtes_königreich,
syrien,zypern,
tansania,,
thailand,,
uganda,,
vietnam,,
