Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,chile
angola,dänemark
argentinien,estland
armenien,finnland
aserbaidschan,frankreich
äthiopien,griechenland
bangladesch,irland
belarus,island
bosnien_und_herzegowina,italien
brasilien,japan
china,kanada
georgien,kroatien
ghana,lettland
hongkong,litauen
indien,luxemburg
indonesien,malta
irak,neuseeland
iran,niederlande
israel,norwegen
kambodscha,österreich
kasachstan,polen
kenia,portugal
kolumbien,rumänien
kongo,schweden
kuba,schweiz
libyen,slowakei
malaysia,slowenien
mali,spanien
mazedonien,tschechien
mexiko,ungarn
montenegro,usa
mosambik,vereinigtes_königreich
namibia,zypern
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
