Cluster_0,Cluster_1,Cluster_2,Cluster_3
afghanistan,albanien,argentinien,belgien
ägypten,armenien,australien,bulgarien
algerien,aserbaidschan,brasilien,dänemark
angola,belarus,china,estland
äthiopien,bosnien_und_herzegowina,hongkong,finnland
bangladesch,georgien,indien,frankreich
chile,iran,japan,griechenland
ghana,israel,kanada,irland
indonesien,kasachstan,malaysia,island
irak,kuba,mexiko,italien
kambodscha,mazedonien,singapur,kroatien
kenia,montenegro,südafrika,lettland
kolumbien,nordkorea,südkorea,litauen
kongo,serbien,usa,luxemburg
libyen,türkei,,malta
mali,ukraine,,neuseeland
mosambik,,,niederlande
namibia,,,norwegen
nepal,,,österreich
niger,,,polen
nigeria,,,portugal
pakistan,,,rumänien
philippinen,,,schweden
ruanda,,,schweiz
saudi_arabien,,,slowakei
senegal,,,slowenien
somalia,,,spanien
sudan,,,tschechien
südsudan,,,ungarn
syrien,,,vereinigtes_königreich
tansania,,,zypern
thailand,,,
uganda,,,
vietnam,,,
