Cluster_0,Cluster_1
afghanistan,ägypten
albanien,australien
algerien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,hongkong
bosnien_und_herzegowina,irland
brasilien,island
chile,italien
china,japan
georgien,kanada
ghana,lettland
indien,litauen
indonesien,luxemburg
irak,malta
iran,neuseeland
israel,niederlande
kambodscha,norwegen
kasachstan,österreich
kenia,polen
kolumbien,portugal
kongo,rumänien
kroatien,schweden
kuba,schweiz
libyen,singapur
malaysia,slowakei
mali,slowenien
mazedonien,spanien
mexiko,südkorea
montenegro,tschechien
mosambik,ungarn
namibia,usa
nepal,vereinigtes_königreich
niger,zypern
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
