Cluster_0,Cluster_1
afghanistan,algerien
ägypten,australien
albanien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,irland
bosnien_und_herzegowina,island
brasilien,italien
chile,japan
china,kanada
georgien,lettland
ghana,litauen
hongkong,luxemburg
indien,malta
indonesien,neuseeland
irak,niederlande
iran,norwegen
israel,österreich
kambodscha,polen
kasachstan,portugal
kenia,rumänien
kolumbien,schweden
kongo,schweiz
kroatien,slowakei
kuba,slowenien
libyen,spanien
malaysia,südkorea
mali,tschechien
mazedonien,ungarn
mexiko,usa
montenegro,vereinigtes_königreich
mosambik,zypern
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
