Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bosnien_und_herzegowina
argentinien,bulgarien
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
belarus,griechenland
brasilien,irland
chile,island
china,italien
georgien,kanada
ghana,kroatien
hongkong,lettland
indien,litauen
indonesien,luxemburg
irak,malta
iran,mazedonien
israel,montenegro
japan,neuseeland
kambodscha,niederlande
kasachstan,norwegen
kenia,österreich
kolumbien,polen
kongo,portugal
kuba,rumänien
libyen,schweden
malaysia,schweiz
mali,serbien
mexiko,slowakei
mosambik,slowenien
namibia,spanien
nepal,tschechien
niger,ungarn
nigeria,usa
nordkorea,vereinigtes_königreich
pakistan,zypern
philippinen,
ruanda,
saudi_arabien,
senegal,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
