Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bosnien_und_herzegowina
argentinien,bulgarien
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
belarus,griechenland
brasilien,irland
chile,island
china,italien
georgien,japan
ghana,kanada
hongkong,kroatien
indien,lettland
indonesien,litauen
irak,luxemburg
iran,malta
israel,mazedonien
kambodscha,montenegro
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kuba,polen
libyen,portugal
malaysia,rumänien
mali,schweden
mexiko,schweiz
mosambik,serbien
namibia,slowakei
nepal,slowenien
niger,spanien
nigeria,tschechien
nordkorea,türkei
pakistan,ungarn
philippinen,usa
ruanda,vereinigtes_königreich
saudi_arabien,zypern
senegal,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
ukraine,
vietnam,
