Cluster_0,Cluster_1,Cluster_2
afghanistan,angola,australien
ägypten,argentinien,belgien
albanien,äthiopien,bulgarien
algerien,bangladesch,dänemark
armenien,brasilien,estland
aserbaidschan,chile,finnland
belarus,china,frankreich
bosnien_und_herzegowina,ghana,griechenland
georgien,hongkong,irland
irak,indien,island
iran,indonesien,italien
israel,kambodscha,japan
kongo,kenia,kanada
kroatien,kolumbien,kasachstan
kuba,malaysia,lettland
libyen,mexiko,litauen
mali,mosambik,luxemburg
mazedonien,nepal,malta
montenegro,niger,neuseeland
namibia,nigeria,niederlande
nordkorea,philippinen,norwegen
pakistan,senegal,österreich
ruanda,singapur,polen
saudi_arabien,südafrika,portugal
serbien,tansania,rumänien
somalia,thailand,schweden
sudan,uganda,schweiz
südsudan,vietnam,slowakei
syrien,,slowenien
türkei,,spanien
ukraine,,südkorea
,,tschechien
,,ungarn
,,usa
,,vereinigtes_königreich
,,zypern
