Cluster_0,Cluster_1,Cluster_2,Cluster_3
afghanistan,albanien,argentinien,belgien
ägypten,armenien,australien,bulgarien
algerien,aserbaidschan,brasilien,dänemark
angola,belarus,chile,estland
äthiopien,bosnien_und_herzegowina,china,finnland
bangladesch,georgien,hongkong,frankreich
ghana,kasachstan,indien,griechenland
irak,kuba,indonesien,irland
iran,mazedonien,japan,island
israel,montenegro,kanada,italien
kambodscha,serbien,kolumbien,kroatien
kenia,türkei,malaysia,lettland
kongo,ukraine,mexiko,litauen
libyen,,neuseeland,luxemburg
mali,,singapur,malta
mosambik,,südafrika,niederlande
namibia,,südkorea,norwegen
nepal,,usa,österreich
niger,,,polen
nigeria,,,portugal
nordkorea,,,rumänien
pakistan,,,schweden
philippinen,,,schweiz
ruanda,,,slowakei
saudi_arabien,,,slowenien
senegal,,,spanien
somalia,,,tschechien
sudan,,,ungarn
südsudan,,,vereinigtes_königreich
syrien,,,zypern
tansania,,,
thailand,,,
uganda,,,
vietnam,,,
