Cluster_0,Cluster_1,Cluster_2
afghanistan,argentinien,australien
ägypten,bangladesch,belgien
albanien,brasilien,bulgarien
algerien,chile,dänemark
angola,china,estland
armenien,ghana,finnland
aserbaidschan,hongkong,frankreich
äthiopien,indien,griechenland
belarus,indonesien,irland
bosnien_und_herzegowina,kasachstan,island
georgien,kolumbien,italien
irak,malaysia,japan
iran,mexiko,kanada
israel,mosambik,lettland
kambodscha,philippinen,litauen
kenia,singapur,luxemburg
kongo,südafrika,malta
kroatien,südkorea,neuseeland
kuba,tansania,niederlande
libyen,thailand,norwegen
mali,vietnam,österreich
mazedonien,,polen
montenegro,,portugal
namibia,,rumänien
nepal,,schweden
niger,,schweiz
nigeria,,slowakei
nordkorea,,slowenien
pakistan,,spanien
ruanda,,tschechien
saudi_arabien,,ungarn
senegal,,usa
serbien,,vereinigtes_königreich
somalia,,zypern
sudan,,
südsudan,,
syrien,,
türkei,,
uganda,,
ukraine,,
