Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,dänemark
algerien,estland
angola,finnland
argentinien,frankreich
armenien,griechenland
aserbaidschan,irland
äthiopien,island
bangladesch,israel
belarus,italien
bosnien_und_herzegowina,japan
brasilien,kanada
bulgarien,lettland
chile,litauen
china,luxemburg
georgien,malta
ghana,neuseeland
hongkong,niederlande
indien,norwegen
indonesien,österreich
irak,polen
iran,portugal
kambodscha,rumänien
kasachstan,schweden
kenia,schweiz
kolumbien,slowakei
kongo,slowenien
kroatien,spanien
kuba,südkorea
libyen,tschechien
malaysia,ukraine
mali,ungarn
mazedonien,usa
mexiko,vereinigtes_königreich
montenegro,zypern
mosambik,
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
vietnam,
