Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,hongkong
bangladesch,irland
belarus,island
bosnien_und_herzegowina,italien
brasilien,japan
chile,kanada
china,lettland
georgien,litauen
ghana,luxemburg
indien,malta
indonesien,neuseeland
irak,niederlande
iran,niger
israel,norwegen
kambodscha,österreich
kasachstan,polen
kenia,portugal
kolumbien,rumänien
kongo,schweden
kroatien,schweiz
kuba,singapur
libyen,slowakei
malaysia,slowenien
mali,spanien
mazedonien,südkorea
mexiko,tschechien
montenegro,türkei
mosambik,ungarn
namibia,usa
nepal,vereinigtes_königreich
nigeria,zypern
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
uganda,
ukraine,
vietnam,
