Cluster_0,Cluster_1
afghanistan,albanien
ägypten,argentinien
algerien,australien
angola,belgien
armenien,bosnien_und_herzegowina
aserbaidschan,bulgarien
äthiopien,dänemark
bangladesch,estland
belarus,finnland
brasilien,frankreich
chile,griechenland
china,hongkong
georgien,irland
ghana,island
indien,italien
indonesien,japan
irak,kanada
iran,kroatien
israel,lettland
kambodscha,litauen
kasachstan,luxemburg
kenia,malta
kolumbien,mazedonien
kongo,montenegro
kuba,neuseeland
libyen,niederlande
malaysia,norwegen
mali,österreich
mexiko,polen
mosambik,portugal
namibia,rumänien
nepal,schweden
niger,schweiz
nigeria,serbien
nordkorea,singapur
pakistan,slowakei
philippinen,slowenien
ruanda,spanien
saudi_arabien,tschechien
senegal,ungarn
somalia,usa
südafrika,vereinigtes_königreich
sudan,zypern
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
