Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,armenien,belgien
algerien,aserbaidschan,chile
angola,bosnien_und_herzegowina,dänemark
argentinien,bulgarien,estland
äthiopien,georgien,finnland
bangladesch,kroatien,frankreich
belarus,mazedonien,griechenland
brasilien,montenegro,irland
china,rumänien,island
ghana,serbien,italien
hongkong,türkei,japan
indien,ukraine,kanada
indonesien,zypern,lettland
irak,,litauen
iran,,luxemburg
israel,,malta
kambodscha,,mexiko
kasachstan,,neuseeland
kenia,,niederlande
kolumbien,,norwegen
kongo,,österreich
kuba,,polen
libyen,,portugal
malaysia,,schweden
mali,,schweiz
mosambik,,singapur
namibia,,slowakei
nepal,,slowenien
niger,,spanien
nigeria,,südkorea
nordkorea,,tschechien
pakistan,,ungarn
philippinen,,usa
ruanda,,vereinigtes_königreich
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
