Cluster_0,Cluster_1
afghanistan,albanien
ägypten,argentinien
algerien,australien
angola,belgien
armenien,brasilien
aserbaidschan,bulgarien
äthiopien,dänemark
bangladesch,estland
belarus,finnland
bosnien_und_herzegowina,frankreich
chile,griechenland
china,hongkong
georgien,irland
ghana,island
indien,italien
indonesien,japan
irak,kanada
iran,kroatien
israel,lettland
kambodscha,litauen
kasachstan,luxemburg
kenia,malta
kolumbien,mazedonien
kongo,mexiko
kuba,montenegro
libyen,neuseeland
malaysia,niederlande
mali,norwegen
mosambik,österreich
namibia,polen
nepal,portugal
niger,rumänien
nigeria,schweden
nordkorea,schweiz
pakistan,serbien
philippinen,singapur
ruanda,slowakei
saudi_arabien,slowenien
senegal,spanien
somalia,südafrika
sudan,südkorea
südsudan,tschechien
syrien,ukraine
tansania,ungarn
thailand,usa
türkei,vereinigtes_königreich
uganda,zypern
vietnam,
