Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,irland
bangladesch,island
belarus,israel
bosnien_und_herzegowina,italien
brasilien,japan
chile,kanada
china,kasachstan
georgien,lettland
ghana,litauen
hongkong,luxemburg
indien,malta
indonesien,neuseeland
irak,niederlande
iran,norwegen
kambodscha,österreich
kenia,polen
kolumbien,portugal
kongo,rumänien
kroatien,schweden
kuba,schweiz
libyen,slowakei
malaysia,slowenien
mali,spanien
mazedonien,tschechien
mexiko,türkei
montenegro,ukraine
mosambik,ungarn
namibia,usa
nepal,vereinigtes_königreich
niger,zypern
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
vietnam,
