Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,irland
bosnien_und_herzegowina,island
brasilien,italien
chile,japan
china,kanada
georgien,kroatien
ghana,lettland
hongkong,litauen
indien,luxemburg
indonesien,malta
irak,neuseeland
iran,niederlande
israel,norwegen
kambodscha,österreich
kasachstan,polen
kenia,portugal
kolumbien,rumänien
kongo,schweden
kuba,schweiz
libyen,singapur
malaysia,slowakei
mali,slowenien
mazedonien,spanien
mexiko,südkorea
montenegro,tschechien
mosambik,türkei
namibia,ungarn
nepal,usa
niger,vereinigtes_königreich
nigeria,zypern
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
uganda,
ukraine,
vietnam,
