Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,hongkong
bosnien_und_herzegowina,irland
brasilien,island
chile,italien
china,japan
georgien,kanada
ghana,kroatien
indien,lettland
indonesien,litauen
irak,luxemburg
iran,malta
israel,neuseeland
kambodscha,niederlande
kasachstan,niger
kenia,norwegen
kolumbien,österreich
kongo,polen
kuba,portugal
libyen,rumänien
malaysia,schweden
mali,schweiz
mazedonien,singapur
mexiko,slowakei
montenegro,slowenien
mosambik,spanien
namibia,tschechien
nepal,türkei
nigeria,ukraine
nordkorea,ungarn
pakistan,usa
philippinen,vereinigtes_königreich
ruanda,zypern
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
vietnam,
