Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,angola
ägypten,australien,argentinien
algerien,belgien,äthiopien
armenien,bosnien_und_herzegowina,bangladesch
aserbaidschan,bulgarien,brasilien
belarus,dänemark,chile
georgien,estland,china
irak,finnland,ghana
iran,frankreich,indien
israel,griechenland,indonesien
kuba,hongkong,kambodscha
libyen,irland,kasachstan
mali,island,kenia
nordkorea,italien,kolumbien
pakistan,japan,kongo
saudi_arabien,kanada,malaysia
somalia,kroatien,mexiko
sudan,lettland,mosambik
südsudan,litauen,namibia
syrien,luxemburg,nepal
türkei,malta,niger
ukraine,mazedonien,nigeria
,montenegro,philippinen
,neuseeland,ruanda
,niederlande,senegal
,norwegen,südafrika
,österreich,südkorea
,polen,tansania
,portugal,thailand
,rumänien,uganda
,schweden,vietnam
,schweiz,
,serbien,
,singapur,
,slowakei,
,slowenien,
,spanien,
,tschechien,
,ungarn,
,usa,
,vereinigtes_königreich,
,zypern,
