Cluster_0,Cluster_1,Cluster_2
afghanistan,australien,bulgarien
ägypten,belgien,estland
albanien,dänemark,kasachstan
algerien,finnland,kroatien
angola,frankreich,lettland
argentinien,griechenland,litauen
armenien,irland,malta
aserbaidschan,island,polen
äthiopien,italien,rumänien
bangladesch,japan,slowakei
belarus,kanada,slowenien
bosnien_und_herzegowina,luxemburg,tschechien
brasilien,neuseeland,ukraine
chile,niederlande,ungarn
china,norwegen,zypern
georgien,österreich,
ghana,portugal,
hongkong,schweden,
indien,schweiz,
indonesien,spanien,
irak,südkorea,
iran,usa,
israel,vereinigtes_königreich,
kambodscha,,
kenia,,
kolumbien,,
kongo,,
kuba,,
libyen,,
malaysia,,
mali,,
mazedonien,,
mexiko,,
montenegro,,
mosambik,,
namibia,,
nepal,,
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
serbien,,
singapur,,
somalia,,
südafrika,,
sudan,,
südsudan,,
syrien,,
tansania,,
thailand,,
türkei,,
uganda,,
vietnam,,
