Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,irland
bangladesch,island
belarus,italien
bosnien_und_herzegowina,japan
brasilien,kanada
chile,kroatien
china,lettland
georgien,litauen
ghana,luxemburg
hongkong,malta
indien,neuseeland
indonesien,niederlande
irak,norwegen
iran,österreich
israel,polen
kambodscha,portugal
kasachstan,rumänien
kenia,schweden
kolumbien,schweiz
kongo,slowakei
kuba,slowenien
libyen,spanien
malaysia,tschechien
mali,ungarn
mazedonien,usa
mexiko,vereinigtes_königreich
montenegro,zypern
mosambik,
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
