Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,armenien,belgien
algerien,aserbaidschan,dänemark
angola,bosnien_und_herzegowina,finnland
argentinien,bulgarien,frankreich
äthiopien,estland,griechenland
bangladesch,georgien,irland
belarus,kroatien,island
brasilien,kuba,italien
chile,lettland,japan
china,litauen,kanada
ghana,mazedonien,luxemburg
hongkong,montenegro,malta
indien,rumänien,neuseeland
indonesien,serbien,niederlande
irak,slowenien,norwegen
iran,türkei,österreich
israel,ukraine,polen
kambodscha,ungarn,portugal
kasachstan,,schweden
kenia,,schweiz
kolumbien,,slowakei
kongo,,spanien
libyen,,tschechien
malaysia,,usa
mali,,vereinigtes_königreich
mexiko,,zypern
mosambik,,
namibia,,
nepal,,
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
singapur,,
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
