Cluster_0,Cluster_1
afghanistan,argentinien
ägypten,australien
albanien,belgien
algerien,bulgarien
angola,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,irland
bosnien_und_herzegowina,island
brasilien,italien
chile,japan
china,kanada
georgien,kroatien
ghana,lettland
hongkong,litauen
indien,luxemburg
indonesien,malta
irak,neuseeland
iran,niederlande
israel,norwegen
kambodscha,österreich
kasachstan,polen
kenia,portugal
kolumbien,rumänien
kongo,schweden
kuba,schweiz
libyen,slowakei
malaysia,slowenien
mali,spanien
mazedonien,tschechien
mexiko,ungarn
montenegro,usa
mosambik,vereinigtes_königreich
namibia,zypern
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
