Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,hongkong
bosnien_und_herzegowina,irland
brasilien,island
chile,italien
china,japan
georgien,kanada
ghana,kroatien
indien,lettland
indonesien,litauen
irak,luxemburg
iran,malta
israel,neuseeland
kambodscha,niederlande
kasachstan,norwegen
kenia,österreich
kolumbien,polen
kongo,portugal
kuba,rumänien
libyen,schweden
malaysia,schweiz
mali,singapur
mazedonien,slowakei
mexiko,slowenien
montenegro,spanien
mosambik,tschechien
namibia,türkei
nepal,ungarn
niger,usa
nigeria,vereinigtes_königreich
nordkorea,zypern
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
ukraine,
vietnam,
