Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,dänemark
algerien,estland
angola,finnland
argentinien,frankreich
armenien,griechenland
aserbaidschan,hongkong
äthiopien,irland
bangladesch,island
belarus,italien
bosnien_und_herzegowina,japan
brasilien,kanada
bulgarien,lettland
chile,litauen
china,luxemburg
georgien,malta
ghana,neuseeland
indien,niederlande
indonesien,norwegen
irak,österreich
iran,polen
israel,portugal
kambodscha,schweden
kasachstan,schweiz
kenia,singapur
kolumbien,slowakei
kongo,slowenien
kroatien,spanien
kuba,tschechien
libyen,ungarn
malaysia,usa
mali,vereinigtes_königreich
mazedonien,zypern
mexiko,
montenegro,
mosambik,
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
rumänien,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
