Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,armenien,australien
algerien,aserbaidschan,belgien
angola,bosnien_und_herzegowina,dänemark
äthiopien,bulgarien,estland
bangladesch,georgien,finnland
belarus,kroatien,frankreich
brasilien,mazedonien,griechenland
chile,montenegro,irland
china,rumänien,island
ghana,serbien,italien
hongkong,türkei,japan
indien,ukraine,kanada
indonesien,zypern,lettland
irak,,litauen
iran,,luxemburg
israel,,malta
kambodscha,,mexiko
kasachstan,,neuseeland
kenia,,niederlande
kolumbien,,norwegen
kongo,,österreich
kuba,,polen
libyen,,portugal
malaysia,,schweden
mali,,schweiz
mosambik,,singapur
namibia,,slowakei
nepal,,slowenien
niger,,spanien
nigeria,,südkorea
nordkorea,,tschechien
pakistan,,ungarn
philippinen,,usa
ruanda,,vereinigtes_königreich
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
