Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,belarus,australien
algerien,bosnien_und_herzegowina,belgien
angola,bulgarien,dänemark
armenien,estland,finnland
aserbaidschan,kroatien,frankreich
äthiopien,lettland,griechenland
bangladesch,litauen,irland
brasilien,malta,island
chile,mazedonien,italien
china,montenegro,japan
georgien,polen,kanada
ghana,rumänien,luxemburg
hongkong,serbien,mexiko
indien,slowakei,neuseeland
indonesien,slowenien,niederlande
irak,tschechien,norwegen
iran,türkei,österreich
israel,ukraine,portugal
kambodscha,ungarn,schweden
kasachstan,zypern,schweiz
kenia,,singapur
kolumbien,,spanien
kongo,,usa
kuba,,vereinigtes_königreich
libyen,,
malaysia,,
mali,,
mosambik,,
namibia,,
nepal,,
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
