Cluster_0,Cluster_1
afghanistan,australien
ägypten,belarus
albanien,belgien
algerien,bulgarien
angola,dänemark
argentinien,estland
armenien,finnland
aserbaidschan,frankreich
äthiopien,griechenland
bangladesch,irland
bosnien_und_herzegowina,island
brasilien,italien
chile,japan
china,kanada
georgien,lettland
ghana,litauen
hongkong,luxemburg
indien,malta
indonesien,neuseeland
irak,niederlande
iran,norwegen
israel,österreich
kambodscha,polen
kasachstan,portugal
kenia,rumänien
kolumbien,schweden
kongo,schweiz
kroatien,slowakei
kuba,slowenien
libyen,spanien
malaysia,tschechien
mali,türkei
mazedonien,ukraine
mexiko,ungarn
montenegro,usa
mosambik,vereinigtes_königreich
namibia,zypern
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
vietnam,
