Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,belarus,belgien
algerien,bulgarien,dänemark
angola,estland,finnland
argentinien,kroatien,frankreich
armenien,lettland,griechenland
aserbaidschan,litauen,irland
äthiopien,malta,island
bangladesch,mazedonien,italien
bosnien_und_herzegowina,montenegro,japan
brasilien,polen,kanada
chile,rumänien,luxemburg
china,serbien,neuseeland
georgien,slowakei,niederlande
ghana,slowenien,norwegen
hongkong,tschechien,österreich
indien,türkei,portugal
indonesien,ukraine,schweden
irak,ungarn,schweiz
iran,zypern,spanien
israel,,usa
kambodscha,,vereinigtes_königreich
kasachstan,,
kenia,,
kolumbien,,
kongo,,
kuba,,
libyen,,
malaysia,,
mali,,
mexiko,,
mosambik,,
namibia,,
nepal,,
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
singapur,,
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
