Cluster_0,Cluster_1,Cluster_2
afghanistan,ägypten,australien
albanien,angola,belgien
algerien,argentinien,dänemark
armenien,äthiopien,estland
aserbaidschan,bangladesch,finnland
belarus,brasilien,frankreich
bosnien_und_herzegowina,chile,griechenland
bulgarien,china,irland
georgien,ghana,island
irak,hongkong,italien
iran,indien,japan
israel,indonesien,kanada
kasachstan,kambodscha,lettland
kroatien,kenia,litauen
kuba,kolumbien,luxemburg
libyen,kongo,malta
mazedonien,malaysia,neuseeland
montenegro,mali,niederlande
nordkorea,mexiko,norwegen
pakistan,mosambik,österreich
rumänien,namibia,polen
serbien,nepal,portugal
syrien,niger,schweden
türkei,nigeria,schweiz
ukraine,philippinen,singapur
zypern,ruanda,slowakei
,saudi_arabien,slowenien
,senegal,spanien
,somalia,tschechien
,südafrika,ungarn
,sudan,usa
,südkorea,vereinigtes_königreich
,südsudan,
,tansania,
,thailand,
,uganda,
,vietnam,
