Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,hongkong
bangladesch,irland
belarus,island
bosnien_und_herzegowina,italien
brasilien,japan
chile,kanada
china,kroatien
georgien,lettland
ghana,litauen
indien,luxemburg
indonesien,malta
irak,neuseeland
iran,niederlande
israel,niger
kambodscha,norwegen
kasachstan,österreich
kenia,polen
kolumbien,portugal
kongo,rumänien
kuba,schweden
libyen,schweiz
malaysia,singapur
mali,slowakei
mazedonien,slowenien
mexiko,spanien
montenegro,tschechien
mosambik,türkei
namibia,ungarn
nepal,usa
nigeria,vereinigtes_königreich
nordkorea,zypern
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
ukraine,
vietnam,
