Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,armenien,belgien
algerien,aserbaidschan,dänemark
angola,belarus,estland
argentinien,bulgarien,finnland
äthiopien,georgien,frankreich
bangladesch,kasachstan,griechenland
bosnien_und_herzegowina,kroatien,irland
brasilien,kuba,island
chile,mazedonien,italien
china,montenegro,japan
ghana,rumänien,kanada
hongkong,serbien,lettland
indien,türkei,litauen
indonesien,ukraine,luxemburg
irak,zypern,malta
iran,,neuseeland
israel,,niederlande
kambodscha,,norwegen
kenia,,österreich
kolumbien,,polen
kongo,,portugal
libyen,,schweden
malaysia,,schweiz
mali,,slowakei
mexiko,,slowenien
mosambik,,spanien
namibia,,südkorea
nepal,,tschechien
niger,,ungarn
nigeria,,usa
nordkorea,,vereinigtes_königreich
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
singapur,,
somalia,,
südafrika,,
sudan,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
