Cluster_0,Cluster_1
afghanistan,albanien
ägypten,argentinien
algerien,australien
angola,belgien
armenien,bulgarien
aserbaidschan,dänemark
äthiopien,estland
bangladesch,finnland
belarus,frankreich
bosnien_und_herzegowina,griechenland
brasilien,hongkong
chile,irland
china,island
georgien,italien
ghana,japan
indien,kanada
indonesien,kroatien
irak,lettland
iran,litauen
israel,luxemburg
kambodscha,malta
kasachstan,mazedonien
kenia,montenegro
kolumbien,neuseeland
kongo,niederlande
kuba,norwegen
libyen,österreich
malaysia,polen
mali,portugal
mexiko,rumänien
mosambik,schweden
namibia,schweiz
nepal,serbien
niger,singapur
nigeria,slowakei
nordkorea,slowenien
pakistan,spanien
philippinen,tschechien
ruanda,ungarn
saudi_arabien,usa
senegal,vereinigtes_königreich
somalia,zypern
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
