Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,armenien,australien
algerien,aserbaidschan,belgien
angola,belarus,brasilien
äthiopien,bosnien_und_herzegowina,bulgarien
bangladesch,georgien,chile
ghana,kasachstan,china
indien,mazedonien,dänemark
indonesien,montenegro,estland
irak,serbien,finnland
iran,türkei,frankreich
israel,ukraine,griechenland
kambodscha,,hongkong
kenia,,irland
kolumbien,,island
kongo,,italien
kuba,,japan
libyen,,kanada
malaysia,,kroatien
mali,,lettland
mexiko,,litauen
mosambik,,luxemburg
namibia,,malta
nepal,,neuseeland
niger,,niederlande
nigeria,,norwegen
nordkorea,,österreich
pakistan,,polen
philippinen,,portugal
ruanda,,rumänien
saudi_arabien,,schweden
senegal,,schweiz
somalia,,singapur
sudan,,slowakei
südsudan,,slowenien
syrien,,spanien
tansania,,südafrika
thailand,,südkorea
uganda,,tschechien
vietnam,,ungarn
,,usa
,,vereinigtes_königreich
,,zypern
