Cluster_0,Cluster_1,Cluster_2
afghanistan,ägypten,algerien
albanien,angola,australien
armenien,argentinien,belgien
aserbaidschan,bangladesch,bulgarien
äthiopien,brasilien,dänemark
belarus,chile,estland
bosnien_und_herzegowina,china,finnland
georgien,ghana,frankreich
irak,hongkong,griechenland
iran,indien,irland
israel,indonesien,island
kasachstan,kambodscha,italien
kongo,kenia,japan
kroatien,kolumbien,kanada
kuba,malaysia,lettland
libyen,mali,litauen
mazedonien,mexiko,luxemburg
montenegro,mosambik,malta
nordkorea,namibia,neuseeland
pakistan,nepal,niederlande
serbien,niger,norwegen
somalia,nigeria,österreich
sudan,philippinen,polen
südsudan,ruanda,portugal
syrien,saudi_arabien,rumänien
türkei,senegal,schweden
ukraine,singapur,schweiz
,südafrika,slowakei
,südkorea,slowenien
,tansania,spanien
,thailand,tschechien
,uganda,ungarn
,vietnam,usa
,,vereinigtes_königreich
,,zypern
