Cluster_0,Cluster_1,Cluster_2
afghanistan,angola,australien
ägypten,argentinien,belgien
albanien,äthiopien,bulgarien
algerien,bangladesch,dänemark
armenien,brasilien,estland
aserbaidschan,chile,finnland
belarus,china,frankreich
bosnien_und_herzegowina,ghana,griechenland
georgien,indien,hongkong
irak,indonesien,irland
iran,kambodscha,island
israel,kasachstan,italien
kroatien,kenia,japan
kuba,kolumbien,kanada
libyen,kongo,lettland
mali,malaysia,litauen
mazedonien,mexiko,luxemburg
montenegro,mosambik,malta
nordkorea,namibia,neuseeland
pakistan,nepal,niederlande
saudi_arabien,niger,norwegen
serbien,nigeria,österreich
somalia,philippinen,polen
sudan,ruanda,portugal
südsudan,senegal,rumänien
syrien,singapur,schweden
türkei,südafrika,schweiz
ukraine,tansania,slowakei
,thailand,slowenien
,uganda,spanien
,vietnam,südkorea
,,tschechien
,,ungarn
,,usa
,,vereinigtes_königreich
,,zypern
