Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,hongkong
bangladesch,irland
belarus,island
bosnien_und_herzegowina,italien
brasilien,japan
chile,kanada
china,kroatien
georgien,lettland
ghana,litauen
indien,luxemburg
indonesien,malta
irak,neuseeland
iran,niederlande
israel,norwegen
kambodscha,österreich
kasachstan,polen
kenia,portugal
kolumbien,rumänien
kongo,schweden
kuba,schweiz
libyen,singapur
malaysia,slowakei
mali,slowenien
mazedonien,spanien
mexiko,südkorea
montenegro,tschechien
mosambik,ukraine
namibia,ungarn
nepal,usa
niger,vereinigtes_königreich
nigeria,zypern
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
vietnam,
