Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bosnien_und_herzegowina
argentinien,bulgarien
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
belarus,griechenland
brasilien,hongkong
chile,irland
china,island
georgien,italien
ghana,japan
indien,kanada
indonesien,kroatien
irak,lettland
iran,litauen
israel,luxemburg
kambodscha,malta
kasachstan,mazedonien
kenia,montenegro
kolumbien,neuseeland
kongo,niederlande
kuba,norwegen
libyen,österreich
malaysia,polen
mali,portugal
mexiko,rumänien
mosambik,schweden
namibia,schweiz
nepal,serbien
niger,slowakei
nigeria,slowenien
nordkorea,spanien
pakistan,tschechien
philippinen,ungarn
ruanda,usa
saudi_arabien,vereinigtes_königreich
senegal,zypern
singapur,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
