Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,belgien,australien
algerien,bulgarien,bangladesch
angola,dänemark,brasilien
armenien,estland,chile
aserbaidschan,finnland,china
äthiopien,frankreich,indien
belarus,griechenland,indonesien
bosnien_und_herzegowina,hongkong,japan
georgien,irland,kambodscha
ghana,island,kanada
irak,italien,malaysia
iran,kroatien,mali
israel,lettland,mexiko
kasachstan,litauen,niger
kenia,luxemburg,philippinen
kolumbien,malta,senegal
kongo,mazedonien,südafrika
kuba,montenegro,südkorea
libyen,neuseeland,thailand
mosambik,niederlande,usa
namibia,norwegen,
nepal,österreich,
nigeria,polen,
nordkorea,portugal,
pakistan,rumänien,
ruanda,schweden,
saudi_arabien,schweiz,
serbien,singapur,
somalia,slowakei,
sudan,slowenien,
südsudan,spanien,
syrien,tschechien,
tansania,ukraine,
türkei,ungarn,
uganda,vereinigtes_königreich,
vietnam,zypern,
