Cluster_0,Cluster_1
afghanistan,argentinien
ägypten,australien
albanien,belgien
algerien,bulgarien
angola,chile
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
belarus,griechenland
bosnien_und_herzegowina,hongkong
brasilien,irland
china,island
georgien,italien
ghana,japan
indien,kanada
indonesien,kroatien
irak,lettland
iran,litauen
israel,luxemburg
kambodscha,malta
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kuba,polen
libyen,portugal
malaysia,rumänien
mali,schweden
mazedonien,schweiz
mexiko,singapur
montenegro,slowakei
mosambik,slowenien
namibia,spanien
nepal,tschechien
niger,ungarn
nigeria,usa
nordkorea,vereinigtes_königreich
pakistan,zypern
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
