Cluster_0,Cluster_1
afghanistan,argentinien
ägypten,australien
albanien,belgien
algerien,bulgarien
angola,chile
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
belarus,griechenland
bosnien_und_herzegowina,irland
brasilien,island
china,italien
georgien,japan
ghana,kambodscha
hongkong,kanada
indien,lettland
indonesien,litauen
irak,luxemburg
iran,malaysia
israel,malta
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kroatien,polen
kuba,portugal
libyen,rumänien
mali,schweden
mazedonien,schweiz
mexiko,singapur
montenegro,slowakei
mosambik,slowenien
namibia,spanien
nepal,südkorea
niger,tschechien
nigeria,ungarn
nordkorea,usa
pakistan,vereinigtes_königreich
philippinen,zypern
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
