Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,armenien,belgien
algerien,aserbaidschan,bulgarien
angola,bosnien_und_herzegowina,dänemark
argentinien,hongkong,estland
äthiopien,kroatien,finnland
bangladesch,montenegro,frankreich
belarus,serbien,griechenland
brasilien,türkei,irland
chile,zypern,island
china,,italien
georgien,,japan
ghana,,kanada
indien,,lettland
indonesien,,litauen
irak,,luxemburg
iran,,malta
israel,,mexiko
kambodscha,,neuseeland
kasachstan,,niederlande
kenia,,norwegen
kolumbien,,österreich
kongo,,polen
kuba,,portugal
libyen,,rumänien
malaysia,,schweden
mali,,schweiz
mazedonien,,slowakei
mosambik,,slowenien
namibia,,spanien
nepal,,südkorea
niger,,tschechien
nigeria,,ungarn
nordkorea,,usa
pakistan,,vereinigtes_königreich
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
singapur,,
somalia,,
südafrika,,
sudan,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
ukraine,,
vietnam,,
