Cluster_0,Cluster_1
afghanistan,argentinien
ägypten,australien
albanien,belarus
algerien,belgien
angola,bulgarien
armenien,dänemark
aserbaidschan,estland
äthiopien,finnland
bangladesch,frankreich
bosnien_und_herzegowina,griechenland
brasilien,hongkong
chile,irland
china,island
georgien,italien
ghana,japan
indien,kanada
indonesien,lettland
irak,litauen
iran,luxemburg
israel,malta
kambodscha,mexiko
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kroatien,polen
kuba,portugal
libyen,rumänien
malaysia,schweden
mali,schweiz
mazedonien,singapur
montenegro,slowakei
mosambik,slowenien
namibia,spanien
nepal,tschechien
niger,türkei
nigeria,ukraine
nordkorea,ungarn
pakistan,usa
philippinen,vereinigtes_königreich
ruanda,zypern
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
vietnam,
