Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,armenien,australien
algerien,aserbaidschan,belgien
angola,bosnien_und_herzegowina,bulgarien
äthiopien,georgien,dänemark
bangladesch,kroatien,estland
belarus,mazedonien,finnland
brasilien,montenegro,frankreich
chile,serbien,griechenland
china,türkei,hongkong
ghana,ukraine,irland
indien,,island
indonesien,,italien
irak,,japan
iran,,kanada
israel,,lettland
kambodscha,,litauen
kasachstan,,luxemburg
kenia,,malta
kolumbien,,neuseeland
kongo,,niederlande
kuba,,norwegen
libyen,,österreich
malaysia,,polen
mali,,portugal
mexiko,,rumänien
mosambik,,schweden
namibia,,schweiz
nepal,,singapur
niger,,slowakei
nigeria,,slowenien
nordkorea,,spanien
pakistan,,tschechien
philippinen,,ungarn
ruanda,,usa
saudi_arabien,,vereinigtes_königreich
senegal,,zypern
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
