Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,armenien,belgien
algerien,aserbaidschan,dänemark
angola,bosnien_und_herzegowina,finnland
argentinien,bulgarien,frankreich
äthiopien,estland,griechenland
bangladesch,georgien,irland
belarus,hongkong,island
brasilien,kasachstan,italien
chile,kroatien,japan
china,lettland,kanada
ghana,litauen,luxemburg
indien,malta,neuseeland
indonesien,montenegro,niederlande
irak,polen,norwegen
iran,rumänien,österreich
israel,serbien,portugal
kambodscha,slowakei,schweden
kenia,slowenien,schweiz
kolumbien,tschechien,singapur
kongo,türkei,spanien
kuba,ukraine,usa
libyen,ungarn,vereinigtes_königreich
malaysia,zypern,
mali,,
mazedonien,,
mexiko,,
mosambik,,
namibia,,
nepal,,
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
