Cluster_0,Cluster_1
afghanistan,albanien
ägypten,argentinien
algerien,australien
angola,belgien
armenien,bosnien_und_herzegowina
aserbaidschan,brasilien
äthiopien,bulgarien
bangladesch,dänemark
belarus,estland
chile,finnland
china,frankreich
georgien,griechenland
ghana,hongkong
indien,irland
indonesien,island
irak,italien
iran,japan
israel,kanada
kambodscha,kroatien
kasachstan,lettland
kenia,litauen
kolumbien,luxemburg
kongo,malaysia
kuba,malta
libyen,mazedonien
mali,montenegro
mexiko,neuseeland
mosambik,niederlande
namibia,norwegen
nepal,österreich
niger,polen
nigeria,portugal
nordkorea,rumänien
pakistan,schweden
philippinen,schweiz
ruanda,serbien
saudi_arabien,singapur
senegal,slowakei
somalia,slowenien
sudan,spanien
südsudan,südafrika
syrien,südkorea
tansania,tschechien
thailand,ungarn
türkei,usa
uganda,vereinigtes_königreich
ukraine,zypern
vietnam,
