Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,argentinien
ägypten,armenien,australien
algerien,aserbaidschan,belgien
angola,belarus,dänemark
äthiopien,bosnien_und_herzegowina,finnland
bangladesch,bulgarien,frankreich
brasilien,estland,griechenland
chile,georgien,hongkong
china,kroatien,irland
ghana,kuba,island
indien,lettland,italien
indonesien,litauen,japan
irak,mazedonien,kanada
iran,montenegro,luxemburg
israel,polen,malta
kambodscha,rumänien,neuseeland
kasachstan,serbien,niederlande
kenia,slowakei,norwegen
kolumbien,slowenien,österreich
kongo,türkei,portugal
libyen,ukraine,schweden
malaysia,ungarn,schweiz
mali,,singapur
mexiko,,spanien
mosambik,,tschechien
namibia,,usa
nepal,,vereinigtes_königreich
niger,,zypern
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
