Cluster_0,Cluster_1,Cluster_2
afghanistan,argentinien,australien
ägypten,brasilien,belgien
albanien,chile,bulgarien
algerien,china,dänemark
angola,hongkong,estland
armenien,indien,finnland
aserbaidschan,kuba,frankreich
äthiopien,libyen,griechenland
bangladesch,malaysia,irland
belarus,mexiko,island
bosnien_und_herzegowina,nepal,israel
georgien,nordkorea,italien
ghana,pakistan,japan
indonesien,philippinen,kanada
irak,saudi_arabien,lettland
iran,singapur,litauen
kambodscha,südafrika,luxemburg
kasachstan,südkorea,malta
kenia,thailand,neuseeland
kolumbien,vietnam,niederlande
kongo,,norwegen
kroatien,,österreich
mali,,polen
mazedonien,,portugal
montenegro,,rumänien
mosambik,,schweden
namibia,,schweiz
niger,,slowakei
nigeria,,slowenien
ruanda,,spanien
senegal,,tschechien
serbien,,ukraine
somalia,,ungarn
sudan,,usa
südsudan,,vereinigtes_königreich
syrien,,zypern
tansania,,
türkei,,
uganda,,
