Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,hongkong
bosnien_und_herzegowina,irland
brasilien,island
chile,italien
china,japan
georgien,kanada
ghana,kroatien
indien,lettland
indonesien,litauen
irak,luxemburg
iran,malta
israel,mazedonien
kambodscha,montenegro
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kuba,polen
libyen,portugal
malaysia,rumänien
mali,schweden
mexiko,schweiz
mosambik,serbien
namibia,singapur
nepal,slowakei
niger,slowenien
nigeria,spanien
nordkorea,tschechien
pakistan,türkei
philippinen,ukraine
ruanda,ungarn
saudi_arabien,usa
senegal,vereinigtes_königreich
somalia,zypern
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
uganda,
vietnam,
