Cluster_0,Cluster_1,Cluster_2
afghanistan,albanien,australien
ägypten,armenien,belgien
algerien,aserbaidschan,dänemark
angola,belarus,finnland
argentinien,bosnien_und_herzegowina,frankreich
äthiopien,bulgarien,griechenland
bangladesch,estland,hongkong
brasilien,georgien,irland
chile,kasachstan,island
china,kroatien,italien
ghana,lettland,japan
indien,litauen,kanada
indonesien,mazedonien,luxemburg
irak,montenegro,malta
iran,rumänien,neuseeland
israel,serbien,niederlande
kambodscha,slowakei,norwegen
kenia,slowenien,österreich
kolumbien,türkei,polen
kongo,ukraine,portugal
kuba,ungarn,schweden
libyen,,schweiz
malaysia,,singapur
mali,,spanien
mexiko,,tschechien
mosambik,,usa
namibia,,vereinigtes_königreich
nepal,,zypern
niger,,
nigeria,,
nordkorea,,
pakistan,,
philippinen,,
ruanda,,
saudi_arabien,,
senegal,,
somalia,,
südafrika,,
sudan,,
südkorea,,
südsudan,,
syrien,,
tansania,,
thailand,,
uganda,,
vietnam,,
