Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,bulgarien
algerien,dänemark
angola,estland
argentinien,finnland
armenien,frankreich
aserbaidschan,griechenland
äthiopien,hongkong
bangladesch,irland
belarus,island
bosnien_und_herzegowina,italien
brasilien,japan
chile,kanada
china,lettland
georgien,litauen
ghana,luxemburg
indien,malta
indonesien,neuseeland
irak,niederlande
iran,norwegen
israel,österreich
kambodscha,polen
kasachstan,portugal
kenia,rumänien
kolumbien,schweden
kongo,schweiz
kroatien,singapur
kuba,slowakei
libyen,slowenien
malaysia,spanien
mali,südkorea
mazedonien,tschechien
mexiko,ungarn
montenegro,usa
mosambik,vereinigtes_königreich
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
zypern,
