Cluster_0,Cluster_1
afghanistan,australien
ägypten,belgien
albanien,dänemark
algerien,estland
angola,finnland
argentinien,frankreich
armenien,griechenland
aserbaidschan,irland
äthiopien,island
bangladesch,italien
belarus,japan
bosnien_und_herzegowina,kanada
brasilien,lettland
bulgarien,litauen
chile,luxemburg
china,malta
georgien,neuseeland
ghana,niederlande
hongkong,norwegen
indien,österreich
indonesien,polen
irak,portugal
iran,schweden
israel,schweiz
kambodscha,singapur
kasachstan,slowakei
kenia,slowenien
kolumbien,spanien
kongo,südkorea
kroatien,tschechien
kuba,ungarn
libyen,usa
malaysia,vereinigtes_königreich
mali,
mazedonien,
mexiko,
montenegro,
mosambik,
namibia,
nepal,
niger,
nigeria,
nordkorea,
pakistan,
philippinen,
ruanda,
rumänien,
saudi_arabien,
senegal,
serbien,
somalia,
südafrika,
sudan,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
ukraine,
vietnam,
zypern,
