Cluster_0,Cluster_1,Cluster_2,Cluster_3
afghanistan,albanien,argentinien,belgien
ägypten,algerien,australien,bulgarien
angola,armenien,brasilien,dänemark
äthiopien,aserbaidschan,chile,estland
bangladesch,belarus,china,finnland
ghana,bosnien_und_herzegowina,hongkong,frankreich
indonesien,georgien,indien,griechenland
irak,iran,japan,irland
kambodscha,israel,mexiko,island
kenia,kasachstan,neuseeland,italien
kolumbien,kroatien,singapur,kanada
kongo,kuba,südkorea,lettland
malaysia,libyen,usa,litauen
mali,mazedonien,,luxemburg
mosambik,montenegro,,malta
namibia,nordkorea,,niederlande
nepal,serbien,,norwegen
niger,syrien,,österreich
nigeria,türkei,,polen
pakistan,ukraine,,portugal
philippinen,zypern,,rumänien
ruanda,,,schweden
saudi_arabien,,,schweiz
senegal,,,slowakei
somalia,,,slowenien
südafrika,,,spanien
sudan,,,tschechien
südsudan,,,ungarn
tansania,,,vereinigtes_königreich
thailand,,,
uganda,,,
vietnam,,,
