,negative_prob,positive_prob
elfenbeinküste,0.9442678346972312,0.0070048597045403406
intransparenten,0.9785429257507356,0.0554485729976382
abgewendet,0.9582948531520644,0.1063589498775344
verkennung,0.9908874035765746,0.013470262280171232
kategorisch,0.970408885966116,0.01314177303495071
cia,0.9920856180587466,0.007298990698433015
arbeitslosenstatistik,0.9666507137034872,0.009342737463953834
boko,0.9999962139854064,0.0017725006983298278
viren,0.9565972099445827,0.01638807007454808
palme,0.9548418269873218,0.03233022443126834
kurzsichtigkeit,0.9587695316643609,0.07151383714968919
politikverdrossenheit,0.9376893161010178,0.11815912651750272
entgeltdiskriminierung,0.9707236542220664,0.03714427087135665
herbeireden,0.9895766151210798,0.011881392393957984
sunnitischen,0.9868725579305436,0.014585060073511194
ausbricht,0.9973663579550116,0.012492878501984371
stereotypen,0.986883202129694,0.007072205689552039
böhmermann,0.9427793767460868,0.02674482365178245
monatelange,0.9839395488910171,0.01050431911945664
tränengas,0.962877507696536,0.01847571211449257
zwangsprostitution,0.9929045833268998,0.021006517792415573
teilweise,0.9354910902025282,0.019058667295682258
weggebrochen,0.9859554691322108,0.030854455434764408
wahlkampfgetöse,0.9660318518453204,0.010387589470571638
vermischt,0.9353939154044204,0.11189699365703072
hereingebrochen,0.9515345215782248,0.04596851259003065
sklaverei,0.9632831458365414,0.015475105796702731
vermurksten,0.9542939359490408,0.042458037533623975
überkommt,0.9312692125480192,0.059837683826033175
fleischindustrie,0.9634972944091854,0.004956320641882912
wehrmacht,0.9711044971155268,0.01198252367533083
stuss,0.9615655487823422,0.0475825825618364
wochenlang,0.9690280474774724,0.007872415815572482
gejagt,0.953929854730984,0.044633924518264964
menschenverachtende,0.9999979882487396,0.002432959567270116
mißstand,0.9616769895349232,0.03147797903186607
gefärbten,0.964339166807244,0.03065954717468236
zugeschoben,0.9784197371081806,0.02001975255881637
beerdigt,0.9361139017711724,0.1025083078936245
kumpanei,0.9999984627558056,0.0011766160252128653
unhaltbaren,0.9999994206530648,0.002850686588268408
engpass,0.9862458565747336,0.008631129504025876
missliche,0.9608767199583568,0.042924524865836686
profitgier,0.9871158760013612,0.017542974212350942
koalitionsräson,0.9609365902269328,0.021968471169146117
unausgewogenen,0.9514910921025044,0.042982757983642025
überdimensionierten,0.9895976646718638,0.011222049203203964
peitsche,0.9653395372286282,0.02358725607130865
wirtschaftsspionage,0.9852090278678896,0.014459146521931284
misshandlung,0.9960741683686294,0.0033247773176293565
sche,0.965257781083044,0.032150224580970006
fatalismus,0.9353878321748104,0.06086369193099846
haram,0.9970230437037853,0.002398592503688905
ebbe,0.9444031721376656,0.04191402941800181
verschlägt,0.947133867731676,0.08314613558981536
ausgesessen,0.995612875773786,0.00337918575301095
unberechenbare,0.9470352222320318,0.032787634495069065
desinteresse,0.9697570432618604,0.019363422909132087
tierquälerei,0.9917468945798802,0.01693629403635026
regimechangepolitik,0.9503750505057352,0.04692038594625958
missbrauchten,0.9742659610587704,0.04178828710973632
kompetenzstreit,0.9720469423024206,0.02744543380389498
silvesternacht,0.9445449994491816,0.007454647142258955
ruins,0.9447685547046338,0.08648488574594948
zähnen,0.9303876612726448,0.14880657240272974
hineingeraten,0.973773992058398,0.05199663235360258
marginalisierung,0.9760770909795312,0.017192778072852848
hinrichtung,0.994946896449544,0.005442732985786605
tragischen,0.9918923333123192,0.010861787601033223
angstmache,0.9565797860102564,0.08301593311307195
regelverstöße,0.974650677384978,0.030662233968051813
spaltungen,0.9413263422515914,0.048020414949428485
menschenrechtsaktivisten,0.9503775422695132,0.0457981637831128
haftanstalten,0.9406725364030256,0.0183401322447509
geflüchtet,0.9792327342822909,0.04222363127132834
selektive,0.96244671583827,0.05869145277455585
ansteckungsgefahren,0.979431420820956,0.027071888451973943
gewalttätigkeit,0.9781602961360251,0.01896702456872362
vermeintliche,0.9452493071878084,0.03411278343900196
blanke,0.9895716566183516,0.01387635934391628
wohnungslosigkeit,0.9709133620530338,0.03656859009653261
kritikerinnen,0.9944319911594526,0.01029179826403256
flüchtlingskatastrophe,0.9358218742679866,0.01937593874548095
autokratischen,0.9482301544728976,0.08360517141072497
atemwegserkrankungen,0.9682878429104038,0.018459495988091226
anzuheizen,0.9777918057981544,0.04238654886862885
verbrechern,0.9999941674744968,0.0029746880012725954
stürme,0.9946233728038084,0.0027940588308005745
abrechnungsbetrug,0.9932871549272612,0.0034094273004175732
bürgerwehren,0.9519341116224178,0.03712186298779498
anmutenden,0.9401218684587436,0.0399545407150626
sabotage,0.9999917238270516,0.0041045688868913775
messer,0.9705591834098491,0.003987126721325513
massenentlassungen,0.9597590908885296,0.10736601592752787
androhung,0.9784697521519546,0.03057699374613488
verfestigen,0.9759240534458036,0.029307905268018342
abwertung,0.9791923108635536,0.024110456135845944
reißt,0.9576432648038824,0.0141108295690613
albanische,0.9671048326217908,0.06640693918550578
zurückfällt,0.9646185642728952,0.017034381832240278
fehlernährung,0.9956244581141579,0.005306694608300994
fragilität,0.9591181563028248,0.05766088410994041
verhörmethoden,0.9499882996320768,0.022722992534563908
missverständliche,0.9635342546353892,0.03241774623667769
grexit,0.9924316884424851,0.006341459462875535
extremismusklausel,0.9607039068226068,0.03905793641003608
personalabbau,0.9908894283154523,0.0068482964970857105
scheiterte,0.942029400704264,0.06887020479038776
bürgerkrieges,0.9962801251670844,0.008862293403974809
anrechnungen,0.9305693594309404,0.04364292527537029
kindesvernachlässigung,0.9941601260162632,0.005473977569670374
schwerkranken,0.962038402369282,0.13987281965025442
missliebige,0.9327783023915032,0.06581008522832217
getarnt,0.9549926396588472,0.024843595291847185
entgegengetreten,0.951927085400265,0.08645843037163392
wagenburgmentalität,0.9485981363251847,0.02353887367039598
fehlplanungen,0.9363649670922936,0.05752892327045645
eiern,0.9427443139500086,0.018501713715745997
timbuktu,0.9755725343941344,0.017004642228853818
härtefälle,0.9422102128596228,0.05214553941840592
aufrechnen,0.9956669544083159,0.0070458727394591535
verdächtigt,0.9930472079328914,0.008716707936487595
